Step Id,Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215869733.857	,10.180,143.600000,4
0,0,aclnnMuls_Muls_Muls,N/A,N/A,1790315215869788.678	,0.900,44.820000,1
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215869866.820	,6.720,77.100000,5
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215869913.741	,1.020,40.280000,1
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215869972.962	,1.080,58.230000,1
0,0,VllmQuantLightningIndexer,N/A,N/A,1790315215870155.366	,83.281,181.170000,20
0,0,Compressor,N/A,N/A,1790315215870367.770	,57.041,129.219000,20
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215870442.711	,18.621,17.959000,40
0,0,SparseAttnSharedkv,N/A,N/A,1790315215870601.435	,42.740,140.129000,20
0,0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1790315215870708.757	,1.080,64.510000,1
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215870790.278	,5.220,80.420000,11
0,0,aclnnInplaceCopy_TransposeAiCore_Transpose,N/A,N/A,1790315215870861.340	,11.840,65.780000,40
0,0,AivKernel,N/A,N/A,1790315215871049.724	,13.120,176.660000,8
0,0,hcom_alltoall__503_86_1,N/A,COMMUNICATION,1790315215871049.724	,13.120,0.000000,0
0,0,aclnnTransposeBatchMatMul_TransposeBatchMatMul_TransposeBatchMatMul,N/A,N/A,1790315215871208.587	,34.200,145.630000,20
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215871432.891	,17.021,190.300000,20
0,0,hcom_reduceScatter__503_87_1,N/A,COMMUNICATION,1790315215871656.216	,12.280,206.229000,0
0,0,AivKernel,N/A,N/A,1790315215871656.216	,12.280,0.000000,8
0,0,HcPost,N/A,N/A,1790315215872005.963	,7.580,337.470000,11
0,0,HcPre,N/A,N/A,1790315215872113.765	,31.620,100.170000,20
0,0,RmsNorm,N/A,N/A,1790315215872185.606	,4.680,40.130000,11
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215872338.649	,6.380,148.570000,40
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215872587.334	,11.580,242.120000,16
0,0,hcom_allGather__503_88_1,N/A,COMMUNICATION,1790315215873020.943	,10.500,422.170000,0
0,0,AivKernel,N/A,N/A,1790315215873020.943	,10.500,0.000000,8
0,0,hcom_allGather__503_89_1,N/A,COMMUNICATION,1790315215873304.169	,5.400,272.750000,0
0,0,AivKernel,N/A,N/A,1790315215873304.169	,5.400,0.000000,8
0,0,MoeGatingTopKHash,N/A,N/A,1790315215873594.114	,14.401,284.350000,30
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215873649.415	,0.980,41.099000,1
0,0,aclnnIndex_IndexCheck_IndexCheck,N/A,N/A,1790315215874012.683	,10.440,362.270000,40
0,0,aclnnIndex_IndexAiCore_Index,N/A,N/A,1790315215874023.143	,11.540,0.060000,40
0,0,aclnnNeScalar_NotEqualAiCore_NotEqual,N/A,N/A,1790315215874062.544	,1.360,27.710000,1
0,0,aclnnMul_CastAiCore_Cast,N/A,N/A,1790315215874091.924	,0.920,28.140000,1
0,0,aclnnMul_MulAiCore_Mul,N/A,N/A,1790315215874094.224	,1.180,1.330000,1
0,0,aclnnMoeInitRoutingV3_MoeInitRoutingV3_MoeInitRoutingV3,N/A,N/A,1790315215874176.226	,33.421,80.820000,40
0,0,aclnnGroupedMatmulSwigluQuantWeightNzV2_GroupedMatmulSwigluQuantV2_GroupedMatmulSwigluQuantV2,N/A,N/A,1790315215874557.734	,159.263,348.079000,20
0,0,aclnnGroupedMatmulWeightNz_GroupedMatmul_GroupedMatmul,N/A,N/A,1790315215874872.180	,89.902,155.237000,20
0,0,aclnnAbs_AbsAiCore_Abs,N/A,N/A,1790315215875100.484	,1.160,138.348000,1
0,0,MoeTokenUnpermute,N/A,N/A,1790315215875204.687	,13.300,103.090000,40
0,0,hcom_reduceScatter__503_90_1,N/A,COMMUNICATION,1790315215875531.753	,12.460,313.700000,0
0,0,AivKernel,N/A,N/A,1790315215875531.753	,12.460,0.000000,8
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215875926.561	,3.860,382.290000,3
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215876161.946	,22.520,231.640000,19
0,0,DequantSwigluQuant,N/A,N/A,1790315215876444.771	,5.320,260.230000,6
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215876693.156	,18.681,243.180000,16
0,0,aclnnAdd_AddAiCore_Add,N/A,N/A,1790315215877075.704	,10.740,363.819000,40
0,0,HcPost,N/A,N/A,1790315215877286.548	,7.860,200.010000,11
0,0,HcPre,N/A,N/A,1790315215877399.390	,31.661,105.140000,20
0,0,RmsNorm,N/A,N/A,1790315215877477.012	,4.580,45.839000,11
0,0,hcom_allGather__503_91_1,N/A,COMMUNICATION,1790315215877956.762	,11.300,475.170000,0
0,0,AivKernel,N/A,N/A,1790315215877956.762	,11.300,0.000000,8
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215878037.883	,3.800,69.950000,3
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215878123.105	,16.760,81.200000,16
0,0,RmsNormDynamicQuant,N/A,N/A,1790315215878264.368	,6.940,124.490000,11
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215878341.809	,33.761,70.560000,19
0,0,triton_rms_kernel,N/A,N/A,1790315215878615.275	,13.600,239.739000,40
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215878770.978	,5.160,142.150000,11
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215878901.980	,7.021,125.840000,21
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215878998.402	,14.021,89.479000,16
0,0,RmsNorm,N/A,N/A,1790315215879119.945	,10.060,107.479000,28
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215879261.928	,9.400,131.940000,28
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215879343.269	,26.021,71.850000,40
0,0,Compressor,N/A,N/A,1790315215879538.413	,41.441,169.229000,20
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215879621.415	,15.160,41.559000,40
0,0,SparseAttnSharedkv,N/A,N/A,1790315215879761.698	,29.320,125.090000,20
0,0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1790315215879859.560	,0.880,68.430000,1
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215879939.581	,5.280,79.120000,11
